real_image,generated_before,generated_after,label,SSIM_before,SSIM_after,SSIM_Diff
2227_thumbnail.png,MC_combined_3.png,MC_combined_20.png,MC,0.1214306781648559,0.41260167105719203,0.2911709928923361
9254_thumbnail.png,MC_combined_3.png,MC_combined_20.png,MC,0.18296509125133834,0.3089693599709177,0.12600426871957934
6582_thumbnail.png,MC_combined_3.png,MC_combined_20.png,MC,0.12267645765154085,0.4124816151030832,0.28980515745154234
39208_thumbnail.png,MC_combined_3.png,MC_combined_20.png,MC,0.10638954020218473,0.4212024037840308,0.31481286358184607
14532_thumbnail.png,MC_combined_3.png,MC_combined_20.png,MC,0.1521861297945103,0.37057216244050095,0.21838603264599066
34508_thumbnail.png,MC_combined_3.png,MC_combined_20.png,MC,0.13621003028960865,0.40891056595696834,0.2727005356673597
30986_thumbnail.png,MC_combined_3.png,MC_combined_20.png,MC,0.16856574100229035,0.3659749339075404,0.19740919290525002
56351_thumbnail.png,MC_combined_3.png,MC_combined_20.png,MC,0.14614890912314868,0.4039491121281887,0.25780020300504003
42260_thumbnail.png,MC_combined_3.png,MC_combined_20.png,MC,0.14059579123522245,0.27677792879151364,0.1361821375562912
62476_thumbnail.png,MC_combined_3.png,MC_combined_20.png,MC,0.10473087192278818,0.4898877427167163,0.38515687079392813
3084_thumbnail.png,MC_combined_3.png,MC_combined_20.png,MC,0.15494848497875674,0.4198971238798083,0.2649486389010516
28562_thumbnail.png,MC_combined_3.png,MC_combined_20.png,MC,0.10127621197952075,0.37527111558015785,0.2739949036006371
38019_thumbnail.png,MC_combined_3.png,MC_combined_20.png,MC,0.13178939822908084,0.46413829980062987,0.33234890157154906
56117_thumbnail.png,MC_combined_3.png,MC_combined_20.png,MC,0.18226475466089975,0.2583425318625556,0.07607777720165587
49587_thumbnail.png,MC_combined_3.png,MC_combined_20.png,MC,0.1412166568764053,0.4561793976705047,0.31496274079409936
47431_thumbnail.png,MC_combined_3.png,MC_combined_20.png,MC,0.212866781687464,0.23208768473201014,0.019220903044546128
57265_thumbnail.png,MC_combined_3.png,MC_combined_20.png,MC,0.12735957146921859,0.38738573778694874,0.2600261663177301
5456_thumbnail.png,MC_combined_3.png,MC_combined_20.png,MC,0.18883937015864571,0.29390731102249507,0.10506794086384935
39252_thumbnail.png,MC_combined_3.png,MC_combined_20.png,MC,0.17101113410867272,0.3452596028020997,0.174248468693427
36678_thumbnail.png,MC_combined_3.png,MC_combined_20.png,MC,0.1459761130024719,0.16475859863624054,0.018782485633768636
20329_thumbnail.png,MC_combined_3.png,MC_combined_20.png,MC,0.18721046162988755,0.27437730560528867,0.08716684397540111
35792_thumbnail.png,MC_combined_3.png,MC_combined_20.png,MC,0.11115617297364473,0.37774175377979174,0.266585580806147
